"","USA","1","United States","16,244,600"
"137","BHS","138","Bahamas, The"," 8,149 "
"138","HTI","139","Haiti"," 7,843 "
"139","BEN","140","Benin"," 7,557 "
"140","MDA","141","Moldova"," 7,253 "
"141","RWA","142","Rwanda"," 7,103 "
"142","TJK","143","Tajikistan"," 6,972 "
"143","NER","144","Niger"," 6,773 "
"144","KGZ","145","Kyrgyz Republic"," 6,475 "
"145","KSV","146","Kosovo"," 6,445 "
"146","MCO","147","Monaco"," 6,075 "
"147","GIN","148","Guinea"," 5,632 "
"148","BMU","149","Bermuda"," 5,474 "
"149","SUR","150","Suriname"," 5,012 "
"150","MNE","151","Montenegro"," 4,373 "
"151","MWI","152","Malawi"," 4,264 "
"152","BRB","153","Barbados"," 4,225 "
"153","MRT","154","Mauritania"," 4,199 "
"154","FJI","155","Fiji"," 3,908 "
"155","TGO","156","Togo"," 3,814 "
"156","SLE","157","Sierra Leone"," 3,796 "
"157","SWZ","158","Swaziland"," 3,744 "
"158","ERI","159","Eritrea"," 3,092 "
"159","GUY","160","Guyana"," 2,851 "
"160","ABW","161","Aruba"," 2,584 "
"161","BDI","162","Burundi"," 2,472 "
"162","LSO","163","Lesotho"," 2,448 "
"163","MDV","164","Maldives"," 2,222 "
"164","CAF","165","Central African Republic"," 2,184 "
"165","CPV","166","Cape Verde"," 1,827 "
"166","BTN","167","Bhutan"," 1,780 "
"167","LBR","168","Liberia"," 1,734 "
"168","BLZ","169","Belize"," 1,493 "
"169","TMP","170","Timor-Leste"," 1,293 "
"170","LCA","171","St. Lucia"," 1,239 "
"171","ATG","172","Antigua and Barbuda"," 1,134 "
"172","SYC","173","Seychelles"," 1,129 "
"173","SLB","174","Solomon Islands"," 1,008 "
"174","GMB","175","Gambia, The"," 917 "
"175","GNB","176","Guinea-Bissau"," 822 "
"176","VUT","177","Vanuatu"," 787 "
"177","GRD","178","Grenada"," 767 "
"178","KNA","178","St. Kitts and Nevis"," 767 "
"179","VCT","180","St. Vincent and the Grenadines"," 713 "
"180","WSM","181","Samoa"," 684 "
"181","COM","182","Comoros"," 596 "
"182","DMA","183","Dominica"," 480 "
"183","TON","184","Tonga"," 472 "
"184","FSM","185","Micronesia, Fed. Sts."," 326 "
"185","STP","186","São Tomé and Principe"," 263 "
"186","PLW","187","Palau"," 228 "
"187","MHL","188","Marshall Islands"," 182 "
"188","KIR","189","Kiribati"," 175 "
"189","TUV","190","Tuvalu"," 40 "
"190","","","",""
"191","ASM","","American Samoa",".."
"192","ADO","","Andorra",".."
"193","CYM","","Cayman Islands",".."
"194","CHI","","Channel Islands",".."
"195","CUW","","Curaçao",".."
"196","DJI","","Djibouti",""
"197","FRO","","Faeroe Islands",".."
"198","PYF","","French Polynesia",".."
"199","GRL","","Greenland",".."
"200","GUM","","Guam",".."
"201","IMY","","Isle of Man",".."
"202","PRK","","Korea, Dem. Rep.",".."
"203","LBY","","Libya",".."
"204","LIE","","Liechtenstein",".."
"205","MMR","","Myanmar",".."
"206","NCL","","New Caledonia",".."
"207","MNP","","Northern Mariana Islands",".."
"208","SMR","","San Marino",".."
"209","SXM","","Sint Maarten (Dutch part)",".."
"210","SOM","","Somalia",".."
"211","MAF","","St. Martin (French part)",".."
"212","TCA","","Turks and Caicos Islands",".."
"213","VIR","","Virgin Islands (U.S.)",".."
"214","WBG","","West Bank and Gaza",".."
"215","","","",""
"216","WLD","","World","72,440,449"
"217","","","",""
"218","LIC","","Low income","504,431"
"219","MIC","","Middle income","22,249,909"
"220","LMC","","  Lower middle income","4,823,811"
"221","UMC","","  Upper middle income","17,426,690"
"222","LMY","","Low & middle income","22,769,282"
"223","EAP","","  East Asia & Pacific","10,329,684"
"224","ECA","","  Europe & Central Asia","1,887,950"
"225","LAC","","  Latin America & Caribbean","5,344,028"
"226","MNA","","  Middle East & North Africa","1,540,807"
"227","SAS","","  South Asia","2,286,093"
"228","SSA","","  Sub-Saharan Africa","1,289,813"
"229","HIC","","High income","49,717,634"
"230","EMU","","  Euro area","12,192,344"
"231","","","",""
"232","",".. Not available.  ","",""
"233","","Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2011 or 2010.","",""
"234","","a. Includes Former Spanish Sahara.  b. Excludes South Sudan  c. Covers mainland Tanzania only. d. Data are for the area ","",""
"235","","controlled by the government of the Republic of Cyprus.   e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.","",""
"236","","","",""
"237","","","",""
"238","","","",""
"239","","","",""
"240","","","",""
"241","","","",""
"242","","","",""
"243","","","",""
"244","","","",""
"245","","","",""
"246","","","",""
"247","","","",""
"248","","","",""
"249","","","",""
"250","","","",""
"251","","","",""
"252","","","",""
"253","","","",""
"254","","","",""
"255","","","",""
"256","","","",""
"257","","","",""
"258","","","",""
"259","","","",""
"260","","","",""
"261","","","",""
"262","","","",""
"263","","","",""
"264","","","",""
"265","","","",""
"266","","","",""
"267","","","",""
"268","","","",""
"269","","","",""
"270","","","",""
"271","","","",""
"272","","","",""
"273","","","",""
"274","","","",""
"275","","","",""
"276","","","",""
"277","","","",""
"278","","","",""
"279","","","",""
"280","","","",""
"281","","","",""
"282","","","",""
"283","","","",""
"284","","","",""
"285","","","",""
"286","","","",""
"287","","","",""
"288","","","",""
"289","","","",""
"290","","","",""
"291","","","",""
"292","","","",""
"293","","","",""
"294","","","",""
"295","","","",""
"296","","","",""
"297","","","",""
"298","","","",""
"299","","","",""
"300","","","",""
"301","","","",""
"302","","","",""
"303","","","",""
"304","","","",""
"305","","","",""
"306","","","",""
"307","","","",""
"308","","","",""
"309","","","",""
"310","","","",""
"311","","","",""
"312","","","",""
"313","","","",""
"314","","","",""
"315","","","",""
"316","","","",""
"317","","","",""
"318","","","",""
"319","","","",""
"320","","","",""
"321","","","",""
"322","","","",""
"323","","","",""
"324","","","",""
"325","","","",""
